analytical_field,resource_type,fhir_path,observed,target_silver_table,notes,mapping_status,claim_types_observed,source_code_system
patient_id,Patient,id,yes,patient,"Observed in downloaded CMS synthetic Patient fixture.",confirmed,not_applicable,FHIR core
gender,Patient,gender,yes,patient,"Observed in downloaded CMS synthetic Patient fixture.",confirmed,not_applicable,FHIR core
birth_date,Patient,birthDate,yes,patient,"Observed in downloaded CMS synthetic Patient fixture.",confirmed,not_applicable,FHIR core
state,Patient,address[].state,yes,patient,"Observed as a state value in downloaded synthetic Patient address. Address selection rules still need production-grade handling.",confirmed,not_applicable,FHIR core
postal_code,Patient,address[].postalCode,yes,patient,"Observed in downloaded synthetic Patient address.",confirmed,not_applicable,FHIR core
coverage_id,Coverage,id,yes,coverage,"Observed in downloaded CMS synthetic Coverage Bundle.",confirmed,not_applicable,FHIR core
coverage_status,Coverage,status,yes,coverage,"Observed in downloaded CMS synthetic Coverage Bundle.",confirmed,not_applicable,FHIR core
coverage_start,Coverage,period.start,yes,coverage,"Observed in downloaded CMS synthetic Coverage Bundle.",confirmed,not_applicable,FHIR core
coverage_end,Coverage,period.end,no,coverage,"Not populated in the downloaded Coverage fixtures; keep nullable.",unavailable,not_applicable,FHIR core
eob_id,ExplanationOfBenefit,id,yes,claim_header,"Observed in downloaded PDE EOBs and local documentation-based Carrier/Outpatient EOBs.",confirmed,CARRIER|OUTPATIENT|PDE,FHIR core
claim_status,ExplanationOfBenefit,status,yes,claim_header,"Observed in EOB fixtures.",confirmed,CARRIER|OUTPATIENT|PDE,FHIR core
claim_type,ExplanationOfBenefit,type.coding[].code,yes,claim_header,"Use Blue Button eob-type coding where code is CARRIER OUTPATIENT PDE etc.; do not rely on array position.",confirmed,CARRIER|OUTPATIENT|PDE,https://bluebutton.cms.gov/resources/codesystem/eob-type
patient_reference,ExplanationOfBenefit,patient.reference,yes,claim_header,"Observed on all EOB types in fixtures.",confirmed,CARRIER|OUTPATIENT|PDE,FHIR core
coverage_reference,ExplanationOfBenefit,insurance[].coverage.reference,yes,claim_header,"Observed on all EOB types in fixtures.",confirmed,CARRIER|OUTPATIENT|PDE,FHIR core
service_start,ExplanationOfBenefit,billablePeriod.start,yes,claim_header,"Observed on all EOB types in fixtures; line-level dates also observed at item.servicedDate and item.servicedPeriod.start.",confirmed,CARRIER|OUTPATIENT|PDE,FHIR core
service_end,ExplanationOfBenefit,billablePeriod.end,yes,claim_header,"Observed on all EOB types in fixtures; line-level dates also observed at item.servicedDate and item.servicedPeriod.end.",confirmed,CARRIER|OUTPATIENT|PDE,FHIR core
provider_reference,ExplanationOfBenefit,provider.reference,yes,claim_header,"Observed for OUTPATIENT as Organization reference. Some EOBs instead use provider.identifier or careTeam provider identifiers.",observed_partial,OUTPATIENT,FHIR core
provider_identifier,ExplanationOfBenefit,provider.identifier.value,yes,claim_header,"Observed for downloaded PDE and local Carrier fixtures; useful fallback when provider.reference is absent.",confirmed,CARRIER|PDE,http://hl7.org/fhir/sid/us-npi|https://bluebutton.cms.gov/resources/variables/prvdr_num
careteam_provider_identifier,ExplanationOfBenefit,careTeam[].provider.identifier.value,yes,claim_header,"Observed in downloaded PDE and local Carrier fixtures. Recommended provider KPI source when role identifies performing/prescribing provider.",confirmed,CARRIER|PDE,http://hl7.org/fhir/sid/us-npi
insurer_reference,ExplanationOfBenefit,insurer.reference,no,claim_header,"Not observed in current fixtures. Coverage is observed through insurance[].coverage.reference.",unavailable,not_observed,FHIR core
procedure_code,ExplanationOfBenefit,item[].service.coding[].code,yes,claim_line,"Observed in local Carrier and Outpatient fixtures. Preserve system code display and version. Downloaded PDE uses item.productOrService NDC instead.",observed_partial,CARRIER|OUTPATIENT,https://bluebutton.cms.gov/resources/codesystem/hcpcs|http://www.ama-assn.org/go/cpt
service_product_code,ExplanationOfBenefit,item[].productOrService.coding[].code,yes,claim_line,"Observed in downloaded PDE fixtures as NDC product codes. Use separate from HCPCS/CPT until normalized.",confirmed,PDE,http://hl7.org/fhir/sid/ndc
diagnosis_code,ExplanationOfBenefit,diagnosis[].diagnosisCodeableConcept.coding[].code,yes,claim_header,"Observed in local Carrier and Outpatient fixtures; downloaded PDE sample has no diagnosis array.",observed_partial,CARRIER|OUTPATIENT,http://hl7.org/fhir/sid/icd-10-cm
submitted_amount,ExplanationOfBenefit,item[].adjudication[].amount.value,yes,claim_line,"Confirmed only when adjudication category includes CLM_LINE_SBMT_CHRG_AMT or CLM_SBMT_CHRG_AMT; do not map by position.",confirmed,CARRIER|OUTPATIENT,https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication
allowed_amount,ExplanationOfBenefit,item[].adjudication[].amount.value,yes,claim_line,"Confirmed only when adjudication category includes CLM_LINE_ALOWD_CHRG_AMT or CLM_ALOWD_CHRG_AMT. Observed in Carrier fixture only.",confirmed,CARRIER,https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication
paid_amount,ExplanationOfBenefit,item[].adjudication[].amount.value,yes,claim_line,"For professional-style claims use CLM_LINE_PRVDR_PMT_AMT as provider paid amount. OUTPATIENT fixture also observed CLM_LINE_CVRD_PD_AMT as a distinct covered paid amount.",observed_partial,CARRIER|OUTPATIENT,https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication
provider_paid_amount,ExplanationOfBenefit,item[].adjudication[].amount.value,yes,claim_line,"Confirmed when adjudication category includes CLM_LINE_PRVDR_PMT_AMT or CLM_PRVDR_PMT_AMT.",confirmed,CARRIER,https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication
covered_paid_amount,ExplanationOfBenefit,item[].adjudication[].amount.value,yes,claim_line,"Confirmed as separate financial concept when adjudication category includes CLM_LINE_CVRD_PD_AMT.",confirmed,OUTPATIENT,https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication
patient_responsibility,ExplanationOfBenefit,item[].adjudication[].amount.value,yes,claim_line,"Candidate rollup from beneficiary paid amount deductible coinsurance and related liability fields. Do not combine until business definition is set.",candidate,CARRIER|OUTPATIENT|PDE,https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication|https://bluebutton.cms.gov/resources/codesystem/adjudication
